"Titre,""Hauteur_mm"",""Epaisseur_mm"",""PrixBase_EUR"",""SupLaquage_EUR"",""SupFixation_EUR"",""SupRetro_EUR"",""Commentaire"""
"Lettre PVC,""1 500"",""19"",""324,00 €"",""90,00 €"",""38,00 €"",""265,00 €"",""PVC 19 mm"""
"Lettre PVC,""100"",""30"",""10,00 €"",""8,00 €"",""2,50 €"",""31,00 €"",""PVC 30 mm"""
"Lettre PVC,""150"",""30"",""13,00 €"",""8,50 €"",""3,50 €"",""40,00 €"",""PVC 30 mm"""
"Lettre PVC,""200"",""30"",""17,00 €"",""9,00 €"",""5,00 €"",""42,00 €"",""PVC 30 mm"""
"Lettre PVC,""250"",""30"",""23,00 €"",""10,00 €"",""6,00 €"",""46,00 €"",""PVC 30 mm"""
"Lettre PVC,""300"",""30"",""29,00 €"",""11,00 €"",""7,00 €"",""51,00 €"",""PVC 30 mm"""
"Lettre PVC,""350"",""30"",""37,00 €"",""12,00 €"",""8,50 €"",""56,00 €"",""PVC 30 mm"""
"Lettre PVC,""400"",""30"",""47,00 €"",""14,00 €"",""10,00 €"",""59,00 €"",""PVC 30 mm"""
"Lettre PVC,""450"",""30"",""57,00 €"",""16,00 €"",""11,00 €"",""63,00 €"",""PVC 30 mm"""
"Lettre PVC,""500"",""30"",""69,00 €"",""18,00 €"",""12,00 €"",""70,00 €"",""PVC 30 mm"""
"Lettre PVC,""600"",""30"",""96,00 €"",""22,00 €"",""15,00 €"",""102,00 €"",""PVC 30 mm"""
"Lettre PVC,""700"",""30"",""128,00 €"",""28,00 €"",""17,00 €"",""119,00 €"",""PVC 30 mm"""
"Lettre PVC,""800"",""30"",""165,00 €"",""34,00 €"",""20,00 €"",""137,00 €"",""PVC 30 mm"""
"Lettre PVC,""900"",""30"",""207,00 €"",""42,00 €"",""22,00 €"",""154,00 €"",""PVC 30 mm"""
"Lettre PVC,""1 000"",""30"",""254,00 €"",""50,00 €"",""25,00 €"",""171,00 €"",""PVC 30 mm"""
"Lettre PVC,""1 100"",""30"",""300,00 €"",""58,00 €"",""28,00 €"",""187,00 €"",""PVC 30 mm"""
"Lettre PVC,""1 200"",""30"",""347,00 €"",""66,00 €"",""30,00 €"",""203,00 €"",""PVC 30 mm"""
"Lettre PVC,""1 300"",""30"",""394,00 €"",""74,00 €"",""33,00 €"",""221,00 €"",""PVC 30 mm"""
"Lettre PVC,""1 400"",""30"",""441,00 €"",""82,00 €"",""35,00 €"",""242,00 €"",""PVC 30 mm"""
"Lettre PVC,""1 500"",""30"",""488,00 €"",""90,00 €"",""38,00 €"",""265,00 €"",""PVC 30 mm"""
